Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,15.00000,23.61111,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,20.00000,26.94444,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,25.00000,30.22222,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,30.00000,32.27778,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,35.00000,34.33333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,40.00000,36.05556,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,45.00000,36.88889,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,1.00000,8.73333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,5.00000,9.20000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,10.00000,10.93333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,15.00000,12.33333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,20.00000,14.13333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,25.00000,15.60000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,30.00000,15.46667,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,35.00000,18.06667,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,40.00000,19.46667,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,500.00000,45.00000,21.46667,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,1.00000,4.90000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,5.00000,5.20000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,10.00000,6.60000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,15.00000,8.00000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,20.00000,9.00000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,25.00000,10.50000,
